tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G35515	AT5G15960	HOS10	KIN1	R	15994234	atrm	Q9SDS8	P18612
AT1G35515	AT5G52310	HOS10	LTI78	R	15994234	atrm	Q9SDS8	Q06738
AT1G42990	AT1G09080	BZIP60	BIP3	A	21482766;19017746	atrm	Q9C7S0	Q8H1B3
AT1G42990	AT2G31955	BZIP60	CNX2	A	15781873	atrm	Q9C7S0	Q39055
AT1G42990	AT5G20990	BZIP60	B73	A	15781873	atrm	Q9C7S0	Q39054
AT1G42990	AT5G28540	BZIP60	BIP1	A	19017746	atrm	Q9C7S0	Q9LKR3
AT1G42990	AT5G42020	BZIP60	BIP2	A	15781873;19352029	atrm	Q9C7S0	Q39043
AT1G45249	AT1G77120	ABF2	ADH1	R	15516505	atrm	Q9M7Q4	P06525
AT1G45249	AT5G20830	ABF2	SUS1	R	15516505	atrm	Q9M7Q4	P49040
AT1G45249	AT5G52300	ABF2	LTI65	A	16284313;11005831;12084834	atrm	Q9M7Q4	Q04980
AT1G45249	AT5G52310	ABF2	LTI78	R	15516505	atrm	Q9M7Q4	Q06738
AT1G46768	AT1G46768	RAP2.1	RAP2.1	R	20230648	atrm	Q8LC30	Q8LC30
AT1G46768	AT2G42540	RAP2.1	COR15A	R	20230648	atrm	Q8LC30	Q42512
AT1G46768	AT5G52310	RAP2.1	LTI78	R	20230648	atrm	Q8LC30	Q06738
AT1G47870	AT2G37640	E2FC	EXP3	R	16920782	atrm	Q9FV70	O80932
AT1G51700	AT5G15840	ADOF1	CO	R	17965272	atrm	O82155	Q39057
AT1G52150	AT2G17950	ATHB-15	WUS	R	17898423	atrm	Q9ZU11	Q9SB92
AT1G52880	AT5G61850	NAM	LFY	A	19095941	atrm	Q9ZNU2	Q00958
AT1G52890	AT1G02930	ANAC019	GSTF6	A	19995345	atrm	Q9C932	P42760
AT1G52890	AT1G20440	ANAC019	COR47	A	19995345	atrm	Q9C932	P31168
AT1G52890	AT3G45140	ANAC019	LOX2	A	18427573	atrm	Q9C932	P38418
AT1G52890	AT5G24780	ANAC019	VSP1	A	18427573	atrm	Q9C932	O49195
AT1G52890	AT5G51070	ANAC019	ERD1	A	19126699	atrm	Q9C932	P42762
AT1G52890	AT5G52300	ANAC019	LTI65	A	19995345	atrm	Q9C932	Q04980
AT1G53230	AT1G04240	TCP3	SHY2	A	21119060	atrm	Q9MAH8	Q38822
AT1G53230	AT2G37630	TCP3	AS1	A	21119060	atrm	Q9MAH8	O80931
AT1G53910	AT1G77120	RAP2.12	ADH1	A	18441225	atrm	Q9SSA8	P06525
