Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
sev|Sos	FBgn0003366|FBgn0001965	ebi	FBgn0263933	enhanceable	FBrf0108171
w	FBgn0003996	su(w<up>a</up>)	FBgn0003638	suppressible	FBrf0048200
ftz	FBgn0001077	E(ftz)1027	FBgn0082690	enhanceable	FBrf0180288
Eip75B	FBgn0000568	Rheb	FBgn0041191	suppressible	FBrf0230650
w	FBgn0003996	Wow	FBgn0014893	enhanceable	FBrf0074960
Delta	FBgn0000463	N	FBgn0004647	suppressible	FBrf0128542
Drp1	FBgn0026479	asrij	FBgn0034793	enhanceable	FBrf0249569
gfzf	FBgn0250732	GstO1	FBgn0035907	suppressible	FBrf0242834
cic	FBgn0262582	pnt	FBgn0003118	suppressible	FBrf0230522
if	FBgn0001250	Pgant3	FBgn0027558	enhanceable	FBrf0211018
spoon	FBgn0263987	larp	FBgn0261618	suppressible	FBrf0241857
sev	FBgn0003366	rin	FBgn0015778	suppressible	FBrf0127269
Fmr1	FBgn0028734	CRMP	FBgn0023023	suppressible	FBrf0249448
Cisd	FBgn0062442	Rab32	FBgn0002567	suppressible	FBrf0245745
brm	FBgn0000212	vn	FBgn0003984	enhanceable	FBrf0187627
N	FBgn0004647	fru	FBgn0004652	suppressible	FBrf0220483
w	FBgn0003996	Kr-h1	FBgn0266450	suppressible	FBrf0128132
Dcp-1	FBgn0010501	Ubc4	FBgn0015321	enhanceable	FBrf0209948
Pink1	FBgn0029891	gfzf	FBgn0250732	suppressible	FBrf0242834
mtm	FBgn0025742	ft	FBgn0001075	enhanceable	FBrf0255186
Btk	FBgn0003502	Src42A	FBgn0264959	enhanceable	FBrf0187454
sev|Ras85D	FBgn0003366|FBgn0003205	osa	FBgn0261885	suppressible	FBrf0105879
Myc	FBgn0262656	Hcf	FBgn0039904	suppressible	FBrf0212501
fz	FBgn0001085	pk	FBgn0003090	enhanceable	FBrf0180148
pbl	FBgn0003041	CycH	FBgn0022936	enhanceable	FBrf0199094
egr	FBgn0033483	slpr::Tak1	FBgn0273453	suppressible	FBrf0226737
egr	FBgn0033483	spoon	FBgn0263987	suppressible	FBrf0256869
smo	FBgn0003444	dlp	FBgn0041604	suppressible	FBrf0245720
Sh	FBgn0003380	para	FBgn0285944	suppressible	FBrf0051924
hid	FBgn0003997	Ras85D	FBgn0003205	suppressible	FBrf0105197
Dlish	FBgn0034264	app	FBgn0260941	enhanceable	FBrf0233684
H	FBgn0001169	cno	FBgn0259212	suppressible	FBrf0149093
park	FBgn0041100	sfl	FBgn0020251	suppressible	FBrf0244501
emb	FBgn0020497	mbo	FBgn0026207	suppressible	FBrf0167772
Arr2	FBgn0000121	Arr1	FBgn0000120	enhanceable	FBrf0193744
Pink1	FBgn0029891	Miro	FBgn0039140	suppressible	FBrf0217671
Su(var)2-10	FBgn0003612	hop	FBgn0004864	suppressible	FBrf0137351
Ets21C	FBgn0005660	Imp	FBgn0285926	suppressible	FBrf0242573
wg	FBgn0284084	puc	FBgn0243512	enhanceable	FBrf0128573
lola|psq|Delta	FBgn0283521|FBgn0263102|FBgn0000463	Utx	FBgn0260749	enhanceable	FBrf0210661
Fmr1	FBgn0028734	Tdrd3	FBgn0036450	suppressible	FBrf0223174
Marf	FBgn0029870	clu	FBgn0034087	enhanceable	FBrf0233735
B-H1	FBgn0011758	Raf	FBgn0003079	suppressible	FBrf0104448
Rab8	FBgn0262518	tkv	FBgn0003716	suppressible	FBrf0227926
ft	FBgn0001075	Raf	FBgn0003079	enhanceable	FBrf0184134
serp	FBgn0260653	verm	FBgn0261341	enhanceable	FBrf0190029
Ppt1	FBgn0030057	Cln3	FBgn0036756	suppressible	FBrf0225020
dsh	FBgn0000499	btl	FBgn0285896	suppressible	FBrf0192599
up	FBgn0004169	Mhc	FBgn0264695	suppressible	FBrf0158994
DCTN1-p150	FBgn0001108	S	FBgn0003310	enhanceable	FBrf0205741
rl	FBgn0003256	cnk	FBgn0286070	enhanceable	FBrf0107534
Mtpβ	FBgn0025352	asRNA:CR43467	FBgn0263444	suppressible	FBrf0244220
egr	FBgn0033483	bsk	FBgn0000229	suppressible	FBrf0228026
aux	FBgn0037218	Chc	FBgn0000319	suppressible	FBrf0213386
sgg	FBgn0003371	kay	FBgn0001297	suppressible	FBrf0207092
SCAR	FBgn0041781	Vrp1	FBgn0243516	enhanceable	FBrf0212349
mib1	FBgn0263601	neur	FBgn0002932	suppressible	FBrf0187469
Axud1	FBgn0261647	hep	FBgn0010303	suppressible	FBrf0207344
Mnat9	FBgn0039859	yki	FBgn0034970	suppressible	FBrf0252580
tkv	FBgn0003716	fu|Smurf	FBgn0001079|FBgn0029006	suppressible	FBrf0212535
flw	FBgn0000711	N	FBgn0004647	suppressible	FBrf0213586
sd	FBgn0003345	vg	FBgn0003975	enhanceable	FBrf0193006
lt	FBgn0002566	Su(var)2-1|Su(var)208	FBgn0004849|FBgn0004557	enhanceable	FBrf0105209
β3GalTII	FBgn0033315	ttv	FBgn0265974	enhanceable	FBrf0204719
dpr6	FBgn0040823	dpr10	FBgn0052057	enhanceable	FBrf0253099
Delta	FBgn0000463	Su(H)	FBgn0004837	suppressible	FBrf0105854
Ddrgk1	FBgn0038868	puc	FBgn0243512	suppressible	FBrf0256328
Kat60	FBgn0040208	HDAC6	FBgn0026428	suppressible	FBrf0224163
N	FBgn0004647	pnt	FBgn0003118	enhanceable	FBrf0090844
