protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name	link
BSU_00660	BSU_04690	experimental	string-db	YabT	YabT	RsbT	RsbT	224308.BSU00660/224308.BSU04690
BSU_00660	BSU_01070	experimental	string-db	YabT	YabT	RpoB	RpoB	224308.BSU00660/224308.BSU01070
BSU_00660	BSU_07010	experimental	string-db	YabT	YabT	RhgR	YesS	224308.BSU00660/224308.BSU07010
BSU_00660	BSU_25770	experimental	string-db	YabT	YabT	SpoIVCA	SpoIVCA	224308.BSU00660/224308.BSU25770
BSU_00660	BSU_12790	experimental	string-db	YabT	YabT	XhlA	XhlA	224308.BSU00660/224308.BSU12790
BSU_00660	BSU_36250	experimental	string-db	YabT	YabT	PtkA	PtkA	224308.BSU00660/224308.BSU36250
BSU_00660	BSU_35500	textmined	string-db	YabT	YabT	DegS	DegS	224308.BSU00660/224308.BSU35500
BSU_00660	BSU_23590	experimental	string-db	YabT	YabT	AnsR	AnsR	224308.BSU00660/224308.BSU23590
BSU_00660	BSU_13390	experimental	string-db	YabT	YabT	YkoT	YkoT	224308.BSU00660/224308.BSU13390
BSU_00660	BSU_04360	experimental	string-db	YabT	YabT	MntH	MntH	224308.BSU00660/224308.BSU04360
BSU_00660	BSU_39230	experimental	string-db	YabT	YabT	WapA	WapA	224308.BSU00660/224308.BSU39230
